,ontology,failed,failed_repair,steps,time,calls,iic_mcs,iic_remove,inf_mcs,inf_weakening,inf_remove
293,cdao,False,False,1.0,5712.0,14718.0,0.08412698412698413,0.001979707993071022,5822.0,3202.0,7227.0
294,cdao,False,False,1.0,44577.0,38526.0,0.5,0.5,2083.0,2083.0,2083.0
295,cdao,False,False,2.0,5020.0,28426.0,0.5,1.0,808.0,808.0,680.0
296,cdao,False,False,1.0,17136.0,17536.0,1.0,1.0,664.0,789.0,664.0
297,cdao,False,False,4.0,7218.0,9776.0,0.0,0.5,647.0,645.0,645.0
298,cdao,False,False,1.0,5566.0,3078.0,0.016597510373443983,0.042287555376560614,4269.0,4036.0,6309.0
299,cdao,False,False,3.0,22238.0,22392.0,0.5,0.0,3492.0,3492.0,3493.0
300,cdao,False,False,1.0,2073.0,7330.0,0.002179440610243371,0.6712328767123288,3617.0,876.0,776.0
301,cdao,False,False,2.0,4495.0,19148.0,0.5,0.5,773.0,773.0,773.0
302,cdao,False,False,1.0,3284.0,3832.0,0.625,0.6666666666666666,1735.0,1737.0,1734.0
303,cdao,False,False,19.0,31224.0,42819.0,0.5,0.5,2662.0,2662.0,2662.0
304,cdao,False,False,6.0,18985.0,18922.0,0.004815409309791332,0.004815409309791332,3801.0,3184.0,3801.0
305,cdao,False,False,1.0,4033.0,28925.0,0.0,1.0,931.0,806.0,803.0
306,cdao,False,False,2.0,85826.0,16297.0,1.0,1.0,1685.0,1693.0,1685.0
307,cdao,False,False,1.0,2529.0,1639.0,0.5101214574898786,0.5,2044.0,2049.0,2049.0
308,cdao,False,False,1.0,82901.0,27263.0,0.9346938775510204,1.0,3695.0,3908.0,3906.0
309,cdao,False,False,2.0,9611.0,12206.0,0.5,0.0,6955.0,6955.0,10684.0
310,cdao,False,False,1.0,14550.0,32639.0,0.9847328244274809,0.0,1784.0,1911.0,2283.0
311,cdao,False,False,4.0,27276.0,29638.0,0.5,0.9992082343626286,8607.0,8607.0,1041.0
312,cdao,False,False,1.0,2288.0,4364.0,0.0,0.0,1165.0,1037.0,1293.0
